# Week 2 crawl of live Wikipedia, 2026-09-08. Edge A -> B when the article of A links to the article of B; both in data/week2_nodes.tsv. 602 nodes, 4082 edges.
source	target
Black_Panther_(character)	Thanos
Black_Panther_(character)	White_Tiger_(comics)
Black_Rider_(character)	Doctor_Strange
Black_Rider_(character)	Kid_Colt
Black_Rider_(character)	Tarantula_(Marvel_Comics)
Black_Rider_(character)	Two-Gun_Kid
Black_Spectre	Bushman_(character)
Black_Spectre	Moon_Knight
Black_Spectre	Morpheus_(Marvel_Comics)
Black_Spectre	Shadow_Knight_(character)
Black_Talon_(comics)	Deadpool
Black_Talon_(comics)	Jericho_Drumm
Black_Talon_(comics)	Scarlet_Witch
Black_Talon_(comics)	She-Hulk
Black_Widow_(Natasha_Romanova)	Bullseye_(Marvel_Comics)
Black_Widow_(Natasha_Romanova)	Damon_Dran
Black_Widow_(Natasha_Romanova)	Ghost_Rider_(Johnny_Blaze)
Black_Widow_(Natasha_Romanova)	Hercules_(Marvel_Comics)
Black_Widow_(Natasha_Romanova)	Norman_Osborn
Black_Widow_(Natasha_Romanova)	Red_Guardian
Black_Widow_(Natasha_Romanova)	Spider-Man
Black_Widow_(Natasha_Romanova)	Venom_(character)
Black_Widow_(Natasha_Romanova)	Wolverine_(character)
Black_Widow_(Natasha_Romanova)	Yelena_Belova
Blackthorn_(character)	Radian_(Morituri)
Blackwulf	Deathlok
Blackwulf	Hank_Pym
Blackwulf	Ultron
Blade_(character)	Doctor_Strange
Blade_(character)	Dracula_(Marvel_Comics)
Blade_(character)	Ghost_Rider_(Danny_Ketch)
Blade_(character)	Ghost_Rider_(Johnny_Blaze)
Blade_(character)	Gwenpool
Blade_(character)	Jubilee_(character)
Blade_(character)	Man-Thing
Blade_(character)	Mojo_(comics)
Blade_(character)	Moon_Knight
Blade_(character)	Morbius
Blade_(character)	Ronin_(Marvel_Comics)
Blade_(character)	Satana_(Marvel_Comics)
Blade_(character)	Spider-Man
Blade_(character)	Spitfire_(character)
Blade_(character)	Varnae
Blastaar	Darkhawk
Blastaar	Leader_(character)
Blastaar	Nova_(Richard_Rider)
Blastaar	Super-Adaptoid
Blazing_Skull	Black_Marvel
Blazing_Skull	Ghost_Rider_(Johnny_Blaze)
Blazing_Skull	Jeffrey_Mace
Blazing_Skull	Quasar_(character)
Blazing_Skull	She-Hulk
Blazing_Skull	Skull_the_Slayer
Blazing_Skull	U.S._Agent
Blazing_Skull	Union_Jack_(Marvel_Comics)
Blizzard_(Marvel_Comics)	Black_Bolt
Blizzard_(Marvel_Comics)	Force_(comics)
Blizzard_(Marvel_Comics)	Hulk
Blizzard_(Marvel_Comics)	Iron_Man_2020
Blizzard_(Marvel_Comics)	Iron_Monger
Blizzard_(Marvel_Comics)	Living_Laser
Blizzard_(Marvel_Comics)	Norman_Osborn
Blizzard_(Marvel_Comics)	Spider-Man
Blizzard_(Marvel_Comics)	Whiplash_(Marvel_Comics)
Blood_Brothers_(comics)	Controller_(Marvel_Comics)
Blood_Brothers_(comics)	Ego_the_Living_Planet
Blood_Brothers_(comics)	Jonas_Harrow
Blood_Brothers_(comics)	Lunatik
Blood_Brothers_(comics)	Norman_Osborn
Blood_Brothers_(comics)	Quasar_(character)
Blood_Brothers_(comics)	Rampage_(Marvel_Comics)
Blood_Brothers_(comics)	Thanos
Blood_Spider_(character)	Spider-Man
Blood_Spider_(character)	Venom_(character)
Blue_Bullet	Doctor_Nemesis
Blue_Bullet	Golem_(Marvel_Comics)
Blue_Diamond_(character)	Citizen_V
Blue_Diamond_(character)	Human_Torch
Blue_Diamond_(character)	Human_Torch_(android)
Blue_Diamond_(character)	Jack_Frost_(Marvel_Comics)
Blue_Diamond_(character)	Jeffrey_Mace
Blue_Diamond_(character)	Makkari_(character)
Blue_Diamond_(character)	Red_Raven_(Marvel_Comics)
Blue_Diamond_(character)	Thin_Man_(character)
Blue_Diamond_(character)	Whizzer_(Robert_Frank)
Blue_Eagle_(character)	Black_Widow_(Natasha_Romanova)
Blue_Eagle_(character)	Overmind_(comics)
Blue_Marvel	Hulk
Blue_Marvel	Hyperion_(character)
Blue_Marvel	Luke_Cage
Blue_Marvel	Sentry_(Robert_Reynolds)
Bob,_Agent_of_Hydra	Agent_X_(Marvel_Comics)
Bob,_Agent_of_Hydra	Deadpool
Bob,_Agent_of_Hydra	Doctor_Strange
Bob,_Agent_of_Hydra	Hulk
Bob,_Agent_of_Hydra	Outlaw_(Marvel_Comics)
Bob,_Agent_of_Hydra	Spider-Man
Bob,_Agent_of_Hydra	T-Ray_(comics)
Bob,_Agent_of_Hydra	Wolverine_(character)
Bonebreaker	Wolverine_(character)
Box_(comics)	Guardian_(Marvel_Comics)
Box_(comics)	Jerry_Jaxon
Box_(comics)	Vindicator_(comics)
Brain_Drain_(character)	Master_of_the_World_(character)
Brent_Jackson	Malcolm_Colcord
Brent_Jackson	Sabretooth_(character)
Brent_Jackson	Wolverine_(character)
Brian_Braddock	Apocalypse_(character)
Brian_Braddock	Arabian_Knight_(character)
Brian_Braddock	Betsy_Braddock
Brian_Braddock	Elsa_Bloodstone
Brian_Braddock	Emma_Frost
Brian_Braddock	Fury_(Marvel_Comics)
Brian_Braddock	Hulk
Brian_Braddock	Killpower
Brian_Braddock	Ms._Marvel
Brian_Braddock	Rachel_Summers
Brian_Braddock	Slaymaster
Brian_Braddock	Spider-Man
Brian_Braddock	Spitfire_(character)
Brian_Braddock	Ultron
Brian_Braddock	Union_Jack_(Marvel_Comics)
Bucky_(Marvel_Comics)	Baron_Strucker
Bucky_(Marvel_Comics)	Battlestar_(character)
Bucky_(Marvel_Comics)	Franklin_Richards_(character)
