# Week 2 crawl of live Wikipedia, 2026-09-08. Heroes = the frozen week-1 roster, villains = Category:Marvel Comics supervillains (no redirects, lists, teams or disambiguation pages).
# side: hero | villain | both. debut_year from the infobox, blank when not found.
node_id	name	side	debut_year	url
Daddy_Longlegs_(comics)	Daddy Longlegs (comics)	villain	1982	https://en.wikipedia.org/wiki/Daddy_Longlegs_%28comics%29
Damage_(Marvel_Comics)	Damage (Marvel Comics)	villain	1989	https://en.wikipedia.org/wiki/Damage_%28Marvel_Comics%29
Damon_Dran	Damon Dran	villain	1972	https://en.wikipedia.org/wiki/Damon_Dran
Danger_Room	Danger Room	villain	2005	https://en.wikipedia.org/wiki/Danger_Room
Dargo_Ktor	Dargo Ktor	hero	1987	https://en.wikipedia.org/wiki/Dargo_Ktor
Darkdevil	Darkdevil	hero	1998	https://en.wikipedia.org/wiki/Darkdevil
Darkhawk	Darkhawk	hero	1991	https://en.wikipedia.org/wiki/Darkhawk
David_8	David 8	villain	2012	https://en.wikipedia.org/wiki/David_8
Deadpool	Deadpool	both	1991	https://en.wikipedia.org/wiki/Deadpool
Death-Stalker	Death-Stalker	villain	1968	https://en.wikipedia.org/wiki/Death-Stalker
Deathbird	Deathbird	villain	1977	https://en.wikipedia.org/wiki/Deathbird
Deathlok	Deathlok	hero	1974	https://en.wikipedia.org/wiki/Deathlok
Debrii	Debrii	hero	2005	https://en.wikipedia.org/wiki/Debrii
Delroy_Garrett	Delroy Garrett	hero	1998	https://en.wikipedia.org/wiki/Delroy_Garrett
Desak	Desak	villain	2001	https://en.wikipedia.org/wiki/Desak
Detroit_Steel	Detroit Steel	both	2010	https://en.wikipedia.org/wiki/Detroit_Steel
Devil_Dinosaur	Devil Dinosaur	hero	1978	https://en.wikipedia.org/wiki/Devil_Dinosaur
Devil_Hulk	Devil Hulk	both	2000	https://en.wikipedia.org/wiki/Devil_Hulk
Devos_the_Devastator	Devos the Devastator	villain	1991	https://en.wikipedia.org/wiki/Devos_the_Devastator
Diamondback_(Willis_Stryker)	Diamondback (Willis Stryker)	villain	1972	https://en.wikipedia.org/wiki/Diamondback_%28Willis_Stryker%29
Diamondhead_(comics)	Diamondhead (comics)	villain	1976	https://en.wikipedia.org/wiki/Diamondhead_%28comics%29
Digitek_(character)	Digitek (character)	hero	1992	https://en.wikipedia.org/wiki/Digitek_%28character%29
Doctor_Druid	Doctor Druid	both	1961	https://en.wikipedia.org/wiki/Doctor_Druid
Doctor_Faustus_(character)	Doctor Faustus (character)	villain	1968	https://en.wikipedia.org/wiki/Doctor_Faustus_%28character%29
Doctor_Nemesis	Doctor Nemesis	both	1941	https://en.wikipedia.org/wiki/Doctor_Nemesis
Doctor_Spectrum	Doctor Spectrum	hero	1969	https://en.wikipedia.org/wiki/Doctor_Spectrum
Doctor_Strange	Doctor Strange	hero	1963	https://en.wikipedia.org/wiki/Doctor_Strange
Dogpool	Dogpool	hero	2010	https://en.wikipedia.org/wiki/Dogpool
Doom_2099	Doom 2099	both	1992	https://en.wikipedia.org/wiki/Doom_2099
Doomsday_Man	Doomsday Man	villain	1970	https://en.wikipedia.org/wiki/Doomsday_Man
Doppelganger_(Marvel_Comics)	Doppelganger (Marvel Comics)	villain	1992	https://en.wikipedia.org/wiki/Doppelganger_%28Marvel_Comics%29
Dracula_(Marvel_Comics)	Dracula (Marvel Comics)	villain	1951	https://en.wikipedia.org/wiki/Dracula_%28Marvel_Comics%29
Dragon_Lord_(character)	Dragon Lord (character)	both	1972	https://en.wikipedia.org/wiki/Dragon_Lord_%28character%29
Dreadknight	Dreadknight	villain	1977	https://en.wikipedia.org/wiki/Dreadknight
Dreadnought_(comics)	Dreadnought (comics)	villain	1967	https://en.wikipedia.org/wiki/Dreadnought_%28comics%29
Dusk_(comics)	Dusk (comics)	hero	1998	https://en.wikipedia.org/wiki/Dusk_%28comics%29
Dweller-in-Darkness	Dweller-in-Darkness	villain	1974	https://en.wikipedia.org/wiki/Dweller-in-Darkness
Eddie_Brock	Eddie Brock	both	1986	https://en.wikipedia.org/wiki/Eddie_Brock
Eel_(Marvel_Comics)	Eel (Marvel Comics)	villain	1963	https://en.wikipedia.org/wiki/Eel_%28Marvel_Comics%29
Egghead_(Marvel_Comics)	Egghead (Marvel Comics)	villain	1962	https://en.wikipedia.org/wiki/Egghead_%28Marvel_Comics%29
Ego_the_Living_Planet	Ego the Living Planet	villain	1966	https://en.wikipedia.org/wiki/Ego_the_Living_Planet
